amount,location,device,time,is_fraud
19.17,Dubai,Mobile,22,0
24.25,Moscow,Mobile,7,0
115.22,Tokyo,Mobile,17,0
78.0,Lagos,Mobile,0,0
142.53,Dubai,Mobile,12,0
41.68,Singapore,Mobile,15,0
79.39,Dubai,Tablet,20,0
132.71,New York,Tablet,19,0
47.45,London,Mobile,1,0
110.22,,Desktop,9,0
,Singapore,Mobile,1,0
44.73,Tokyo,Desktop,0,1
43.82,Singapore,ATM,3,0
17.9,Sydney,Desktop,22,0
113.94,London,Mobile,6,0
39.79,London,Mobile,17,0
67.61,Lagos,Tablet,17,0
113.16,Tokyo,Mobile,20,0
108.98,London,ATM,12,0
138.65,Lagos,Desktop,23,0
,Mumbai,Mobile,10,0
41.86,Sao Paulo,Desktop,18,0
61.09,Lagos,Tablet,18,0
10.42,Moscow,Desktop,13,0
13.57,Mumbai,ATM,7,0
15.57,Mumbai,ATM,3,0
22.27,Moscow,Mobile,2,0
103.52,Singapore,Mobile,11,0
24.63,Moscow,Mobile,9,0
43.99,London,Tablet,5,0
278.43,Singapore,Tablet,18,0
45.07,London,Mobile,3,0
150.09,New York,ATM,11,0
23.88,Mumbai,Mobile,10,0
53.2,Dubai,POS,23,0
23.45,London,POS,2,0
45.93,New York,Mobile,20,0
168.06,Tokyo,Mobile,16,0
9.97,Lagos,Mobile,18,0
107.54,Sao Paulo,ATM,18,0
,Sao Paulo,Desktop,18,0
34.69,London,POS,10,0
13.59,Moscow,Desktop,13,0
72.19,Tokyo,Desktop,8,0
37.25,Dubai,ATM,21,0
86.14,Tokyo,Desktop,5,0
68.31,Sydney,POS,14,0
388.37,Lagos,Desktop,5,0
51.25,,Mobile,8,0
21.63,Moscow,Mobile,23,0
81.22,Tokyo,Mobile,4,0
84.94,Lagos,POS,21,0
297.41,Tokyo,Desktop,19,0
167.11,Lagos,Desktop,8,0
98.75,Dubai,Mobile,8,0
333.5,Sydney,Tablet,0,0
18.04,London,POS,18,0
32.99,Dubai,Tablet,15,0
24.07,London,ATM,23,0
43.43,Moscow,Mobile,6,0
14.67,Sydney,Mobile,9,0
134.11,Sydney,Desktop,16,0
52.22,Mumbai,Mobile,8,0
13.23,Sao Paulo,Tablet,7,0
21.82,Tokyo,POS,4,0
94.15,Tokyo,Mobile,23,0
,Lagos,ATM,11,1
599.68,London,Mobile,18,0
1644.59,Dubai,Tablet,15,0
105.2,Sao Paulo,Desktop,14,0
22.45,Moscow,Tablet,7,0
6.39,Singapore,Mobile,7,0
89.52,Mumbai,ATM,11,0
27.27,Moscow,ATM,3,0
42.23,Dubai,Desktop,12,0
34.01,Dubai,Desktop,2,0
57.12,Sydney,Tablet,6,0
215.42,New York,Desktop,15,0
79.26,Mumbai,Desktop,0,0
56.01,Sydney,Desktop,1,0
21.34,Sydney,ATM,5,0
10.57,Singapore,Tablet,18,0
39.06,Sydney,Mobile,19,0
62.86,Mumbai,ATM,0,0
466.25,New York,Mobile,6,0
76.96,Singapore,Mobile,1,0
196.57,Lagos,ATM,0,1
38.5,New York,Mobile,22,0
18.11,London,Mobile,10,0
,Sao Paulo,Desktop,19,0
30.03,Moscow,POS,16,0
693.2,Moscow,Mobile,10,1
27.02,Sydney,Desktop,18,0
167.73,Mumbai,Mobile,5,0
24.7,Tokyo,Desktop,9,0
185.81,Singapore,Mobile,9,0
101.84,Sydney,Mobile,13,0
56.13,Sao Paulo,ATM,5,0
63.76,Mumbai,Tablet,17,0
32.45,Mumbai,POS,20,0
108.93,Lagos,ATM,21,1
40.43,Lagos,ATM,21,1
17.32,Mumbai,POS,15,0
16.35,Mumbai,Mobile,19,0
80.63,Tokyo,POS,16,0
378.8,Sao Paulo,Desktop,22,0
79.52,London,Mobile,2,0
58.53,Sao Paulo,Desktop,4,1
91.32,London,Mobile,10,0
280.51,Dubai,Desktop,14,0
84.89,New York,POS,21,1
,Moscow,Desktop,2,0
225.18,London,Mobile,3,0
106.87,Mumbai,Mobile,20,0
361.16,London,ATM,7,0
81.58,London,Desktop,0,0
17.34,New York,Desktop,16,0
14.81,Lagos,POS,21,0
409.94,Tokyo,POS,21,0
444.09,Singapore,Desktop,20,0
54.74,Sao Paulo,Tablet,1,0
43.75,Lagos,Mobile,3,1
332.82,,ATM,20,0
19.73,New York,Desktop,16,0
24.92,Sao Paulo,Tablet,5,0
135.32,New York,Mobile,9,0
43.2,Dubai,Tablet,20,0
66.31,New York,Desktop,22,1
55.71,Sao Paulo,Desktop,21,0
96.67,Sydney,Tablet,11,0
313.64,Singapore,POS,18,0
73.67,Singapore,Mobile,1,0
135.41,Lagos,ATM,22,0
6.99,Lagos,Mobile,5,0
63.21,,Desktop,23,0
26.38,Singapore,Mobile,0,0
17.45,London,Mobile,22,0
25.38,Mumbai,ATM,12,0
46.18,Lagos,Mobile,12,0
182.64,Sao Paulo,ATM,16,0
15.5,Sao Paulo,Mobile,11,0
68.97,Lagos,Tablet,22,0
39.15,Sao Paulo,Mobile,2,1
46.5,Lagos,Tablet,15,0
200.95,Singapore,ATM,5,0
120.53,Singapore,Desktop,0,0
,Lagos,Desktop,15,1
56.26,Singapore,POS,16,0
31.01,Sao Paulo,Tablet,3,0
52.13,London,Mobile,17,0
87.07,New York,Tablet,22,0
80.98,Dubai,Tablet,16,0
20.23,New York,POS,5,0
73.67,London,Mobile,2,0
85.72,Singapore,Desktop,2,0
1063.39,New York,ATM,14,0
525.59,Mumbai,Desktop,5,0
26.09,Lagos,Desktop,8,1
48.61,Singapore,ATM,1,0
13.33,Tokyo,Mobile,10,0
34.82,New York,Desktop,3,1
94.36,Sao Paulo,POS,10,0
251.25,Lagos,Tablet,14,0
29.9,Moscow,ATM,23,1
32.47,Moscow,Tablet,6,0
6.28,New York,Mobile,7,0
55.76,Sao Paulo,Desktop,19,0
20.73,Singapore,Mobile,22,0
37.25,Moscow,ATM,9,1
25.42,Mumbai,Mobile,8,0
60.12,Singapore,Desktop,17,0
9.65,Sao Paulo,Desktop,18,0
13.28,Sydney,Mobile,16,0
693.79,Tokyo,Mobile,15,0
16.18,Sao Paulo,Tablet,3,0
19.96,Lagos,Mobile,6,0
503.01,Lagos,ATM,1,1
1628.76,Sydney,ATM,9,0
18.38,Mumbai,Mobile,20,0
44.47,Sydney,ATM,5,0
97.1,Moscow,Mobile,16,0
446.56,Moscow,Mobile,10,0
22.52,Lagos,Mobile,4,1
50.92,Tokyo,POS,5,0
156.82,Moscow,Tablet,16,0
107.58,New York,Mobile,18,0
44.09,Sao Paulo,Tablet,7,0
57.56,Sao Paulo,Tablet,22,0
14.7,Sydney,POS,1,0
51.32,Sydney,Desktop,13,0
49.75,Sydney,POS,5,0
86.09,New York,Tablet,21,0
36.2,Moscow,Mobile,18,0
112.02,Sydney,POS,1,0
203.16,Sydney,Mobile,9,0
79.12,Lagos,Tablet,17,0
98.19,Sydney,Tablet,13,0
70.7,Tokyo,Mobile,11,0
66.69,New York,Mobile,3,0
30.15,Tokyo,Tablet,13,0
94.46,Moscow,POS,2,1
59.92,Lagos,POS,7,0
666.8,London,Tablet,5,0
376.41,Sydney,Mobile,15,0
101.94,Mumbai,Mobile,11,0
28.81,Dubai,POS,10,0
19.62,Mumbai,Desktop,20,0
247.21,Sydney,POS,9,0
89.03,Dubai,Mobile,18,0
113.09,London,Mobile,21,0
9.79,New York,Tablet,3,0
184.97,Sydney,Tablet,17,0
109.93,Mumbai,Tablet,1,0
19.66,Sao Paulo,Mobile,15,0
39.7,New York,POS,5,0
89.13,Tokyo,Desktop,6,0
70.65,Moscow,POS,20,0
48.36,Mumbai,Tablet,4,0
59.51,Tokyo,Desktop,12,0
50.54,Mumbai,Tablet,18,0
78.87,Sydney,Desktop,19,0
336.51,Lagos,Desktop,4,1
3.96,Dubai,Tablet,8,0
51.39,New York,Mobile,13,0
80.98,Mumbai,ATM,14,0
92.35,New York,Mobile,3,0
44.3,Tokyo,Mobile,14,0
9.66,London,POS,0,0
95.66,London,Mobile,15,0
445.9,London,ATM,17,0
12.34,Sydney,Desktop,11,0
172.47,Sydney,Mobile,5,0
46.46,Sao Paulo,Mobile,5,0
62.34,New York,Mobile,16,0
20.94,Lagos,Mobile,10,0
46.16,Sydney,Mobile,22,0
278.68,New York,Mobile,23,0
126.59,Sao Paulo,Mobile,10,0
448.34,New York,Desktop,6,0
243.51,Tokyo,Mobile,19,0
108.09,Lagos,Mobile,17,0
454.1,Tokyo,Mobile,3,0
108.08,Dubai,Mobile,22,0
165.8,Sao Paulo,Mobile,4,0
48.12,Tokyo,Mobile,13,0
71.75,Singapore,Desktop,4,0
30.96,Moscow,ATM,11,0
198.05,Dubai,Mobile,14,0
18.24,Dubai,Mobile,2,0
,Sao Paulo,Tablet,6,0
54.07,Mumbai,Desktop,18,0
241.86,London,Mobile,22,0
152.32,Dubai,POS,21,0
494.09,Tokyo,Tablet,18,0
148.99,London,ATM,23,0
11.83,Singapore,ATM,3,0
61.95,Moscow,Desktop,4,0
18.37,Dubai,Tablet,9,1
37.71,Moscow,Desktop,22,0
351.55,Lagos,ATM,19,1
134.46,Tokyo,Desktop,8,0
30.91,Tokyo,Mobile,0,0
21.87,Dubai,Mobile,14,0
69.13,Dubai,Desktop,7,0
17.49,Mumbai,Desktop,5,0
31.87,Dubai,POS,5,0
93.99,Tokyo,Mobile,5,0
,Lagos,POS,7,0
130.27,Moscow,Mobile,14,0
5.36,Dubai,Desktop,3,0
93.21,Sao Paulo,Desktop,11,0
72.19,Sao Paulo,Mobile,22,0
105.14,Lagos,Desktop,23,0
394.58,Sydney,Mobile,19,0
6.89,Tokyo,Mobile,6,0
34.81,London,POS,3,0
127.74,Mumbai,Mobile,21,0
11.71,Sydney,POS,9,0
338.17,Dubai,Tablet,11,1
100.0,Singapore,Mobile,10,0
169.23,Sao Paulo,ATM,3,0
35.59,Moscow,POS,17,0
163.23,London,POS,5,0
216.01,New York,POS,5,0
86.16,Tokyo,Desktop,18,0
86.3,Sao Paulo,ATM,17,0
89.78,Singapore,Mobile,19,0
25.8,Tokyo,Mobile,16,0
56.7,London,Tablet,0,0
56.39,Tokyo,Mobile,10,0
101.67,New York,Tablet,9,0
200.3,Moscow,Desktop,7,0
20.81,Tokyo,Mobile,11,0
58.12,Moscow,ATM,11,0
340.22,,Mobile,14,0
29.43,Singapore,Mobile,23,0
26.99,Mumbai,Tablet,15,0
83.31,Mumbai,POS,22,0
168.82,London,POS,19,1
67.53,Mumbai,Mobile,17,0
287.68,Mumbai,ATM,6,0
171.14,Sao Paulo,Tablet,13,0
168.34,Mumbai,POS,2,0
122.67,London,Mobile,22,0
863.0,Sao Paulo,Desktop,4,0
53.21,Lagos,Desktop,5,0
7.36,Mumbai,Desktop,22,0
389.43,Sao Paulo,Mobile,2,1
40.31,Mumbai,Desktop,13,0
75.09,Sao Paulo,Tablet,13,0
281.61,New York,Desktop,5,0
11.44,Lagos,Desktop,9,0
16.83,Lagos,Mobile,18,0
11.46,Singapore,ATM,17,0
27.84,Moscow,Desktop,14,0
108.16,Singapore,Desktop,13,0
118.7,Moscow,ATM,8,0
90.37,Mumbai,Tablet,14,0
14.1,Lagos,Mobile,0,0
5.25,Sao Paulo,Tablet,1,0
70.8,Sydney,ATM,18,0
39.69,Singapore,Mobile,4,0
110.53,Dubai,Tablet,17,0
144.34,Dubai,Mobile,0,0
77.64,Tokyo,POS,6,0
153.88,Sydney,Tablet,22,0
85.81,Moscow,ATM,6,1
119.47,Tokyo,Tablet,23,0
30.72,New York,Mobile,6,0
54.73,Sao Paulo,Desktop,15,0
82.8,Tokyo,ATM,16,0
164.45,Sao Paulo,Mobile,15,1
43.25,Lagos,Mobile,7,1
118.31,Tokyo,Tablet,18,0
49.78,Moscow,Desktop,7,0
,Tokyo,Mobile,19,0
166.08,London,Mobile,9,0
7.45,Moscow,Mobile,20,0
16.02,Dubai,Tablet,23,0
13.06,Tokyo,Desktop,18,0
5.12,Tokyo,Desktop,11,0
31.62,Tokyo,POS,10,0
152.08,Mumbai,Mobile,9,0
48.75,Dubai,Tablet,8,0
82.89,New York,Desktop,11,0
220.99,Sydney,Desktop,11,0
287.28,Mumbai,Desktop,17,1
61.8,Moscow,Tablet,21,0
295.58,Dubai,ATM,21,1
73.8,Sydney,Mobile,14,0
26.55,Tokyo,Mobile,23,0
34.68,Sao Paulo,Desktop,21,0
13.08,Moscow,Desktop,11,0
25.1,London,Mobile,9,0
44.98,Sydney,ATM,11,0
161.41,New York,POS,0,1
442.68,Dubai,Desktop,7,1
14.58,Singapore,Desktop,9,0
102.73,Singapore,Mobile,18,0
21.23,Sydney,Desktop,6,0
112.41,Mumbai,Desktop,15,0
57.73,Lagos,ATM,7,0
8.9,Mumbai,Desktop,8,0
185.14,Sydney,Mobile,1,0
34.28,Sao Paulo,Mobile,12,0
37.07,Dubai,Mobile,2,0
20.56,New York,ATM,4,0
32.47,London,POS,12,1
106.77,Mumbai,POS,16,0
54.15,Dubai,POS,9,0
95.73,Tokyo,Mobile,6,0
99.3,London,Tablet,21,0
285.07,Lagos,Tablet,8,0
45.74,Singapore,Mobile,7,0
13.14,New York,Desktop,1,0
215.71,Moscow,Tablet,8,0
46.31,Sao Paulo,ATM,5,0
227.25,Sydney,Mobile,8,0
101.67,Lagos,ATM,4,0
57.73,Singapore,ATM,4,0
97.87,Tokyo,ATM,17,1
570.27,Mumbai,Mobile,11,0
655.03,Moscow,Mobile,16,0
71.98,Sydney,Tablet,13,0
79.54,New York,Mobile,12,1
217.86,Sydney,Mobile,11,0
26.31,Mumbai,POS,9,0
96.2,Dubai,Mobile,6,0
64.82,Mumbai,Desktop,21,0
94.19,London,ATM,9,0
,Sao Paulo,Desktop,21,0
11.61,Dubai,ATM,18,0
6.82,Lagos,Desktop,14,0
19.51,Dubai,Mobile,20,0
40.26,Sao Paulo,Mobile,15,0
48.3,Sydney,Desktop,19,0
561.69,Lagos,Mobile,19,1
225.11,London,POS,15,0
23.14,Singapore,ATM,17,0
97.76,Dubai,Mobile,19,0
42.62,London,Mobile,5,0
48.77,Mumbai,Tablet,21,0
81.77,Mumbai,Desktop,12,0
131.77,Sydney,Mobile,2,0
45.92,Dubai,Mobile,3,0
214.91,Tokyo,Mobile,18,0
18.99,Lagos,Desktop,19,0
67.15,Lagos,Mobile,15,1
1161.47,Sydney,POS,15,0
85.23,Moscow,Mobile,20,1
322.64,Mumbai,Desktop,23,0
73.75,Mumbai,Desktop,19,0
126.32,Moscow,Mobile,3,0
62.65,New York,ATM,19,0
55.29,London,Tablet,12,0
28.29,New York,ATM,19,0
107.05,Sao Paulo,Desktop,17,0
26.14,Dubai,Desktop,16,0
138.68,New York,Mobile,20,0
220.04,Sao Paulo,Desktop,3,0
99.8,Moscow,Desktop,20,0
48.67,Sao Paulo,Desktop,8,0
109.88,London,Mobile,4,0
47.49,Tokyo,Mobile,17,0
186.63,London,Mobile,23,0
8.89,Lagos,Mobile,2,1
46.1,Lagos,Desktop,23,1
7.46,Mumbai,ATM,8,0
12.88,Singapore,Mobile,23,0
298.94,New York,Mobile,1,0
178.52,Dubai,Mobile,14,0
30.22,Moscow,Mobile,12,0
12.77,Singapore,Tablet,19,0
2.56,Lagos,Mobile,11,0
36.68,Sydney,ATM,1,1
955.71,Mumbai,ATM,4,1
107.59,Mumbai,Desktop,6,0
36.03,London,ATM,20,0
111.23,Lagos,Tablet,2,1
11.98,Mumbai,ATM,20,0
48.08,Tokyo,Mobile,12,0
74.4,Mumbai,ATM,13,0
60.66,Moscow,Mobile,23,0
159.16,London,Desktop,18,0
97.43,Singapore,ATM,15,0
139.1,London,Desktop,19,0
31.27,Lagos,Mobile,11,0
179.04,New York,Mobile,22,0
400.15,New York,Mobile,19,0
22.94,Lagos,Desktop,23,0
25.12,Lagos,Desktop,13,0
289.85,,Desktop,15,0
54.03,Dubai,POS,10,0
312.37,Dubai,Mobile,22,1
,Sao Paulo,POS,15,0
330.48,Dubai,Desktop,3,1
77.06,Tokyo,POS,12,0
88.59,Mumbai,POS,3,1
372.86,London,ATM,15,0
44.79,Dubai,Mobile,16,0
23.68,New York,Desktop,19,0
40.71,Moscow,ATM,3,1
109.68,Singapore,Tablet,11,1
11.91,Singapore,Mobile,8,0
134.45,Lagos,Tablet,9,0
36.87,New York,POS,22,0
235.71,Singapore,Mobile,13,0
4.79,Sydney,Tablet,10,0
28.07,Moscow,POS,21,0
10.43,Lagos,Desktop,12,0
26.87,Lagos,Mobile,10,0
87.57,Dubai,Desktop,12,0
54.75,Sydney,Desktop,20,0
50.47,Sydney,Desktop,10,0
55.97,Dubai,Tablet,14,0
83.41,Sydney,Desktop,4,0
21.99,New York,ATM,0,0
145.12,Singapore,POS,1,0
138.23,Singapore,POS,11,0
101.85,Moscow,Desktop,17,0
123.0,Moscow,Mobile,5,0
92.39,Dubai,POS,22,1
625.52,Mumbai,Mobile,3,1
60.59,Lagos,Desktop,16,0
47.57,Mumbai,Mobile,5,0
29.11,Dubai,Desktop,1,0
21.42,Singapore,Tablet,17,0
16.96,Tokyo,Desktop,12,0
,Sao Paulo,Desktop,15,0
61.7,London,Mobile,22,0
96.32,Sydney,Mobile,12,0
70.55,Moscow,Desktop,20,0
28.73,Singapore,ATM,11,0
179.5,Lagos,ATM,8,1
150.41,London,ATM,9,0
55.95,New York,Mobile,8,0
32.52,Dubai,Mobile,21,0
121.91,Sao Paulo,Desktop,12,0
82.0,Singapore,Tablet,22,0
13.56,Singapore,Tablet,6,0
61.88,Sydney,POS,18,0
88.96,Sydney,Desktop,2,0
24.79,Dubai,Desktop,6,0
82.17,New York,ATM,0,0
13.46,Moscow,Mobile,21,0
289.98,Sao Paulo,POS,7,0
263.16,Sydney,Tablet,19,0
50.51,Sydney,Mobile,10,0
99.46,Moscow,ATM,2,1
4.71,London,ATM,8,0
18.69,Mumbai,POS,8,0
48.27,Sao Paulo,Mobile,12,0
20.5,Moscow,Mobile,7,0
146.33,Dubai,Tablet,16,0
600.06,Dubai,Mobile,17,1
18.28,Sao Paulo,Mobile,3,0
26.54,Dubai,Desktop,12,0
86.4,London,Mobile,13,0
392.38,Sydney,POS,6,0
17.38,Singapore,Desktop,18,0
87.7,Mumbai,Mobile,5,0
494.44,New York,Desktop,20,0
10.84,Dubai,Mobile,10,0
16.29,Sydney,Mobile,8,0
41.85,London,Desktop,15,0
37.61,Mumbai,Desktop,14,1
163.02,London,Mobile,12,0
86.99,New York,Tablet,16,0
9.46,Moscow,Desktop,6,0
117.56,Mumbai,Desktop,19,0
35.33,Sao Paulo,Mobile,14,0
270.94,Dubai,Tablet,5,0
33.44,Moscow,Desktop,23,0
33.11,New York,Mobile,20,0
120.93,Singapore,Tablet,4,0
154.35,Dubai,POS,18,0
109.17,New York,Mobile,12,0
10.44,Dubai,Tablet,18,0
120.52,Dubai,POS,9,0
21.38,Dubai,Mobile,5,0
86.38,Lagos,ATM,5,1
13.93,Sao Paulo,Desktop,1,0
108.96,Sao Paulo,POS,21,0
27.46,New York,ATM,7,0
16.27,Moscow,ATM,22,0
146.23,Sydney,Desktop,5,1
86.99,Tokyo,Tablet,8,0
33.94,Singapore,Mobile,21,0
329.08,Sao Paulo,Mobile,8,0
41.07,Tokyo,ATM,18,0
69.08,Singapore,Desktop,2,0
89.64,Tokyo,POS,22,0
33.73,,Mobile,14,0
111.97,Sao Paulo,Mobile,18,0
37.08,Sao Paulo,Mobile,0,0
42.4,Sao Paulo,Desktop,23,0
298.54,Sydney,Mobile,11,0
21.23,Tokyo,Mobile,5,0
4.69,Dubai,ATM,3,0
392.3,Lagos,POS,2,1
1101.32,Moscow,POS,16,0
42.7,Tokyo,Mobile,5,0
7.92,Singapore,Desktop,22,0
47.39,Singapore,Tablet,5,0
48.67,Sao Paulo,Mobile,2,0
54.11,Sydney,Desktop,20,0
19.59,Sydney,ATM,18,0
126.16,London,Mobile,12,0
118.74,Sydney,ATM,19,0
12.89,Sao Paulo,Mobile,17,1
143.9,London,Mobile,4,0
637.75,New York,Mobile,9,0
80.57,Mumbai,ATM,22,0
46.01,Sydney,Tablet,16,0
57.04,Sao Paulo,POS,14,0
131.21,Lagos,Desktop,4,0
9.94,Moscow,ATM,12,0
79.9,Dubai,Desktop,3,0
43.4,Sydney,Desktop,16,0
509.08,London,POS,5,0
55.06,Singapore,POS,6,0
417.66,Mumbai,Tablet,13,0
19.8,Tokyo,Mobile,0,0
127.23,Lagos,ATM,16,1
94.76,Moscow,Mobile,10,0
25.64,Sydney,ATM,12,0
81.06,London,Desktop,17,0
253.1,Sydney,Mobile,18,0
46.7,London,Mobile,22,0
10.37,Sao Paulo,Desktop,4,0
65.41,Sao Paulo,Desktop,10,0
24.71,Tokyo,POS,2,1
45.76,London,Tablet,6,0
,Sydney,Mobile,13,0
10.21,Sao Paulo,Desktop,3,1
11.28,London,POS,10,0
113.33,Lagos,ATM,22,1
37.53,Tokyo,Desktop,1,0
3.97,Dubai,ATM,5,0
158.12,Singapore,Mobile,6,0
89.98,Mumbai,Tablet,21,0
30.41,Lagos,POS,17,0
15.67,Sydney,Desktop,4,0
167.23,Moscow,Mobile,16,0
97.93,Sao Paulo,Tablet,0,0
916.78,Sao Paulo,Mobile,19,0
105.87,Sao Paulo,Mobile,5,1
102.15,Dubai,Mobile,17,0
55.5,Sao Paulo,POS,11,0
163.77,Singapore,Mobile,17,0
132.63,Lagos,Desktop,8,0
264.25,Singapore,ATM,12,1
37.58,Sydney,POS,21,0
41.31,Sao Paulo,Desktop,19,0
39.37,Lagos,Desktop,13,0
159.16,Dubai,Mobile,22,0
346.61,Lagos,Desktop,2,1
40.26,Sao Paulo,Mobile,16,0
41.79,Mumbai,Mobile,15,0
94.21,Tokyo,Mobile,6,0
50.89,Mumbai,Tablet,9,0
190.04,London,Mobile,9,0
5.6,Sao Paulo,Mobile,16,0
26.86,Sao Paulo,ATM,14,0
28.2,Singapore,Mobile,18,0
5.19,Moscow,Tablet,15,0
23.1,Sao Paulo,Desktop,23,0
24.37,Sao Paulo,Desktop,19,0
53.45,Sydney,Mobile,13,0
226.84,Tokyo,Mobile,0,1
50.93,Dubai,POS,8,0
21.46,Mumbai,Desktop,3,0
62.64,New York,Mobile,10,0
211.47,Lagos,Mobile,23,0
22.79,Moscow,Desktop,9,0
24.49,Moscow,Mobile,19,0
123.27,New York,Desktop,10,0
52.26,Sao Paulo,Desktop,13,0
135.94,,Tablet,0,1
65.69,Sao Paulo,POS,16,0
144.29,Lagos,Desktop,5,0
21.36,New York,ATM,11,0
65.81,Dubai,Desktop,23,0
52.89,Moscow,Desktop,5,0
17.51,Lagos,Tablet,22,0
11.94,Lagos,Tablet,19,0
141.79,Lagos,Mobile,1,1
45.33,Lagos,ATM,8,1
21.66,Singapore,ATM,23,0
59.99,Moscow,Mobile,10,0
230.63,Mumbai,Desktop,19,0
5.43,Dubai,POS,22,0
12.85,Dubai,ATM,0,1
24.16,Sao Paulo,Desktop,17,0
332.72,Tokyo,Mobile,21,0
91.0,Moscow,Tablet,13,0
155.1,London,Mobile,23,0
19.03,Moscow,Tablet,16,0
19.46,Singapore,Desktop,15,0
109.14,New York,Tablet,2,0
71.1,London,Mobile,18,0
121.95,Sydney,Desktop,20,0
54.25,Dubai,Tablet,7,0
90.56,Mumbai,Mobile,3,0
79.35,London,Mobile,13,0
156.89,Moscow,Mobile,22,1
162.02,Sao Paulo,ATM,17,0
11.22,Singapore,Desktop,19,0
5.63,London,Tablet,13,0
200.72,Singapore,Desktop,10,0
246.29,Moscow,POS,7,0
21.7,London,Desktop,19,0
8.62,Mumbai,Mobile,15,0
74.36,New York,Mobile,17,0
185.66,Dubai,Mobile,20,0
481.72,London,POS,23,0
117.68,London,Tablet,20,0
44.31,London,POS,10,0
24.97,Sao Paulo,Tablet,3,0
67.53,Dubai,POS,13,0
47.98,Sydney,ATM,10,0
21.83,Singapore,Tablet,22,0
,Mumbai,Mobile,0,1
475.18,Mumbai,Mobile,20,0
232.68,Sydney,Desktop,15,0
24.22,Lagos,POS,1,1
170.8,Singapore,Desktop,5,0
134.77,Moscow,Mobile,1,0
108.51,Lagos,Tablet,22,0
263.65,London,Desktop,15,1
134.14,Sao Paulo,Mobile,14,0
150.51,London,POS,12,0
134.37,London,Desktop,9,0
97.02,Sao Paulo,Mobile,4,1
9.37,Dubai,Mobile,17,0
73.11,Mumbai,Desktop,3,0
36.17,New York,Desktop,4,0
16.32,Lagos,Mobile,23,0
424.11,Moscow,Tablet,2,1
446.7,Mumbai,Tablet,22,0
297.42,Dubai,Mobile,2,1
88.3,Singapore,Desktop,11,0
294.62,Tokyo,Desktop,13,0
67.58,Sao Paulo,Mobile,2,0
83.35,Mumbai,Mobile,21,0
20.03,Lagos,Mobile,22,0
103.2,Sydney,Desktop,5,0
71.27,Singapore,POS,5,0
15.91,London,Desktop,18,0
63.03,Mumbai,ATM,8,0
61.09,Moscow,Desktop,0,0
481.7,Sydney,Tablet,18,0
178.33,Singapore,Desktop,8,0
67.53,New York,POS,9,0
87.68,London,ATM,15,0
70.01,Dubai,Desktop,13,0
53.35,New York,Desktop,19,0
20.27,New York,ATM,19,0
56.48,Moscow,ATM,22,0
29.35,Tokyo,ATM,22,0
16.86,Mumbai,Mobile,15,0
117.02,Lagos,Mobile,13,0
102.55,Lagos,Desktop,11,0
9.34,Moscow,POS,15,0
58.27,Sydney,Mobile,1,0
